jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|cpu:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=cpu,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=cpu, 
1000,  1000,  completed,  eof,  2018-09-27 00:40:09,  2018-09-27 00:40:10,  1,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|cpu:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  100,  11,  14,  3,  0.05005,  272,  0.05015,  0.0,  0.0, 
1000,  1008,  completed,  eof,  2018-09-27 00:40:09,  2018-09-27 00:40:10,  1,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_22.modelParams|spParams|synPermInactiveDec_0.1,  100,  9,  12,  1,  0.0001,  22,  0.1,  0.0,  0.0, 
1000,  1016,  completed,  eof,  2018-09-27 00:40:09,  2018-09-27 00:40:11,  2,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|cpu:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  100,  12,  16,  5,  0.1,  521,  0.0003,  0.0,  0.0, 
1000,  1022,  completed,  eof,  2018-09-27 00:40:09,  2018-09-27 00:40:10,  1,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|cpu:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  100,  10,  13,  2,  0.025075,  147,  0.075075,  0.0,  0.0, 
1000,  1044,  completed,  eof,  2018-09-27 00:40:09,  2018-09-27 00:40:11,  2,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|cpu:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  100,  11,  15,  4,  0.075025,  396,  0.025225,  0.0,  0.0, 
1000,  1075,  completed,  eof,  2018-09-27 00:40:10,  2018-09-27 00:40:12,  2,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_47.modelParams|spParams|synPermInactiveDec_0.1,  100,  9,  12,  1,  0.0001,  47,  0.1,  0.0,  0.0, 
1000,  1076,  completed,  eof,  2018-09-27 00:40:10,  2018-09-27 00:40:12,  2,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_22.modelParams|spParams|synPermInactiveDec_0.0950683922224,  100,  9,  12,  1,  0.0001,  22,  0.0950683922224,  0.0,  0.0, 
1000,  1077,  completed,  eof,  2018-09-27 00:40:11,  2018-09-27 00:40:12,  1,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|sensorParams|encoders|cpu:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  100,  11,  14,  3,  0.055045,  296,  0.055135,  0.0,  0.0, 
1000,  1078,  completed,  eof,  2018-09-27 00:40:11,  2018-09-27 00:40:12,  1,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0632979621241.modelParams|sensorParams|encoders|cpu:n_344.modelParams|spParams|synPermInactiveDec_0.0552417844448,  100,  11,  14,  3,  0.0632979621241,  344,  0.0552417844448,  0.0,  0.0, 
1000,  1079,  completed,  eof,  2018-09-27 00:40:11,  2018-09-27 00:40:13,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.059171481062.modelParams|sensorParams|encoders|cpu:n_271.modelParams|spParams|synPermInactiveDec_0.0551883922224,  100,  10,  14,  3,  0.059171481062,  271,  0.0551883922224,  0.0,  0.0, 
